track_name, event_dates, track_length, location
Sonoma Raceway, March 28th–30th, 2.52 Miles, Sonoma California
Circuit of the Americas, April 25th–27th, 3.41 Miles, Austin Texas
Sebring International Raceway, May 16th–18th, 3.741 Miles, Sebring Florida
VIRginia International Raceway, July 18th–20th, 3.27 Miles, Alton Virginia
Road America, August 15th–17th, 4.048 Miles, Elkhart Lake Wisconsin
Barber Motorsports Park, September 5th–7th, 2.38 Miles, Leeds Alabama
Indianapolis Motor Speedway, October 17th–19th, 2.439 Miles, Speedway Indiana
